timestamp,clase,confianza,x1,y1,x2,y2
2025-11-29 16:54:27,teléfono celular,0.91,24,2,629,478
2025-11-29 16:54:27,teléfono celular,0.92,12,2,625,475
2025-11-29 16:54:27,teléfono celular,0.91,12,2,623,475
2025-11-29 16:54:27,teléfono celular,0.93,11,1,621,474
2025-11-29 16:54:28,teléfono celular,0.89,11,1,621,475
2025-11-29 16:54:28,control remoto,0.36,46,0,621,476
2025-11-29 16:54:28,teléfono celular,0.87,7,2,625,480
2025-11-29 16:54:28,teléfono celular,0.91,10,2,629,479
2025-11-29 16:54:28,teléfono celular,0.91,10,2,629,479
2025-11-29 16:54:28,teléfono celular,0.93,10,2,630,480
2025-11-29 16:54:28,teléfono celular,0.87,10,2,632,480
2025-11-29 16:54:28,teléfono celular,0.87,10,2,632,480
2025-11-29 16:54:28,teléfono celular,0.94,12,1,625,480
2025-11-29 16:54:28,teléfono celular,0.94,12,1,625,480
2025-11-29 16:54:29,teléfono celular,0.94,9,1,622,480
2025-11-29 16:54:29,teléfono celular,0.92,7,2,622,479
2025-11-29 16:54:29,teléfono celular,0.69,28,3,627,473
2025-11-29 16:54:29,portátil,0.38,1,2,637,474
2025-11-29 16:54:29,teléfono celular,0.93,72,3,619,474
2025-11-29 16:54:29,teléfono celular,0.91,48,7,629,473
2025-11-29 16:54:29,teléfono celular,0.85,58,16,545,474
2025-11-29 16:54:29,teléfono celular,0.88,60,12,545,474
2025-11-29 16:54:29,teléfono celular,0.88,60,12,545,474
2025-11-29 16:54:29,teléfono celular,0.84,73,13,559,478
2025-11-29 16:54:29,teléfono celular,0.79,73,13,571,480
2025-11-29 16:54:29,persona,0.38,550,386,639,478
2025-11-29 16:54:29,control remoto,0.36,74,10,581,477
2025-11-29 16:54:30,teléfono celular,0.86,75,11,577,479
2025-11-29 16:54:30,teléfono celular,0.86,70,13,569,480
2025-11-29 16:54:30,persona,0.35,550,387,639,478
2025-11-29 16:54:30,teléfono celular,0.86,70,13,569,480
2025-11-29 16:54:30,persona,0.35,550,387,639,478
2025-11-29 16:54:30,teléfono celular,0.89,63,10,570,480
2025-11-29 16:54:30,persona,0.40,548,386,639,478
2025-11-29 16:54:30,teléfono celular,0.88,51,9,578,479
2025-11-29 16:54:30,teléfono celular,0.86,47,9,573,480
2025-11-29 16:54:30,teléfono celular,0.86,45,8,576,480
2025-11-29 16:54:30,persona,0.37,548,386,639,478
2025-11-29 16:54:30,teléfono celular,0.82,50,9,571,478
2025-11-29 16:54:30,persona,0.38,548,387,639,478
2025-11-29 16:54:30,teléfono celular,0.81,42,8,570,480
2025-11-29 16:54:30,persona,0.41,549,387,639,478
2025-11-29 16:54:30,teléfono celular,0.86,23,7,562,480
2025-11-29 16:54:31,teléfono celular,0.86,23,7,562,480
2025-11-29 16:54:31,persona,0.59,449,360,639,476
2025-11-29 16:54:31,teléfono celular,0.50,5,5,607,472
2025-11-29 16:54:31,teclado,0.76,2,1,566,149
2025-11-29 16:54:31,persona,0.37,473,336,639,476
2025-11-29 16:54:31,teclado,0.69,0,2,607,212
2025-11-29 16:54:31,teléfono celular,0.46,101,295,343,382
2025-11-29 16:54:31,portátil,0.54,2,10,640,475
2025-11-29 16:54:31,teclado,0.81,1,4,638,221
2025-11-29 16:54:32,teclado,0.81,1,4,638,221
2025-11-29 16:54:32,teclado,0.81,1,4,638,221
2025-11-29 16:54:32,teclado,0.81,1,4,638,221
2025-11-29 16:54:32,teclado,0.81,1,4,638,221
2025-11-29 16:54:32,teclado,0.81,1,4,638,221
2025-11-29 16:54:32,teclado,0.81,1,4,638,221
2025-11-29 16:54:32,teclado,0.81,1,4,638,221
2025-11-29 16:54:32,teclado,0.81,1,4,638,221
2025-11-29 16:54:32,teclado,0.81,1,4,638,221
2025-11-29 16:54:32,teclado,0.81,1,4,638,221
2025-11-29 16:54:33,teclado,0.81,1,4,638,221
2025-11-29 16:54:33,teclado,0.81,1,4,638,221
2025-11-29 16:54:33,teclado,0.81,1,4,638,221
2025-11-29 16:54:33,teclado,0.81,1,4,638,221
2025-11-29 16:54:33,teclado,0.81,1,4,638,221
2025-11-29 16:54:33,teclado,0.81,1,4,638,221
2025-11-29 16:54:33,teclado,0.81,1,4,638,221
2025-11-29 16:54:33,teclado,0.81,1,4,638,221
2025-11-29 16:54:33,teclado,0.81,1,4,638,221
